Season,Team,matches_home,goals_for_home,goals_against_home,points_home,matches_away,goals_for_away,goals_against_away,points_away,Matches,GoalsFor,GoalsAgainst,Points,AvgPointsLast5,AvgGFLast5,AvgGALast5
epl_2025_26_curr,Arsenal,13,31,8,32,12,18,9,24,25,49,17,56,10.416666666666666,8.666666666666666,3.1666666666666665
epl_2025_26_curr,Aston Villa,12,18,10,25,13,18,17,22,25,36,27,47,9.166666666666666,7.041666666666667,5.166666666666667
epl_2025_26_curr,Bournemouth,13,20,14,23,12,21,30,11,25,41,44,34,5.791666666666667,7.416666666666667,8.541666666666666
epl_2025_26_curr,Brentford,12,23,12,24,13,16,22,15,25,39,34,39,6.875,7.208333333333333,6.25
epl_2025_26_curr,Brighton,13,20,14,21,12,14,19,10,25,34,33,31,6.166666666666667,6.666666666666667,6.125
epl_2025_26_curr,Burnley,13,12,19,10,12,13,30,5,25,25,49,15,2.875,4.791666666666667,8.875
epl_2025_26_curr,Chelsea,12,20,13,21,13,25,15,22,25,45,28,43,7.208333333333333,7.666666666666667,5.083333333333333
epl_2025_26_curr,Crystal Palace,12,11,15,12,13,15,14,20,25,26,29,32,5.833333333333333,4.833333333333333,5.333333333333333
epl_2025_26_curr,Everton,12,15,16,16,13,13,12,21,25,28,28,37,6.5,5.0,5.291666666666667
epl_2025_26_curr,Fulham,13,22,16,23,12,13,21,11,25,35,37,34,6.583333333333333,6.416666666666667,6.541666666666667
epl_2025_26_curr,Leeds,13,22,18,22,12,12,25,7,25,34,43,29,5.041666666666667,6.125,7.791666666666667
epl_2025_26_curr,Liverpool,13,21,14,24,12,19,21,15,25,40,35,39,7.5,7.125,6.25
epl_2025_26_curr,Man City,12,29,8,29,13,22,16,21,25,51,24,50,9.208333333333334,9.583333333333334,4.25
epl_2025_26_curr,Man United,13,25,15,27,12,21,21,17,25,46,36,44,7.375,8.041666666666666,6.833333333333333
epl_2025_26_curr,Newcastle,13,24,20,23,12,11,16,10,25,35,36,33,6.666666666666667,6.541666666666667,5.833333333333333
epl_2025_26_curr,Nott'm Forest,12,13,18,12,13,12,20,14,25,25,38,26,4.666666666666667,4.5,7.083333333333333
epl_2025_26_curr,Sunderland,12,21,9,26,13,6,20,10,25,27,29,36,6.75,4.833333333333333,4.833333333333333
epl_2025_26_curr,Tottenham,12,15,16,10,13,20,19,19,25,35,35,29,5.75,6.541666666666667,6.0
epl_2025_26_curr,West Ham,12,16,26,10,13,15,22,13,25,31,48,23,3.5416666666666665,5.125,9.208333333333334
epl_2025_26_curr,Wolves,13,11,28,5,12,5,20,3,25,16,48,8,1.5416666666666667,3.0833333333333335,8.75
